date,msci,lmex,copper,aluminum,nickel,tin,zinc,lead
30-12-94,172.466,1781.6,3033,1955,8835,6116,1137.3,654.5
02-01-95,172.545,1781.6,3033,1955,8835,6116,1137.3,654.5
03-01-95,170.352,1789.15,2994,2007,8900,6032,1142.8,657
04-01-95,167.154,1749.43,2908.5,1970.8,8786,5962,1125.8,649
05-01-95,167.246,1776.52,2952,2005.8,9093,6009,1138,649.8
06-01-95,166.229,1796.89,3000,2022,9262,6025,1140,659
09-01-95,165.108,1804.64,3015,2033.5,9151,6059,1149.3,663.8
10-01-95,164.516,1806.91,3039.5,2014.3,9349,6010,1144.5,663.8
11-01-95,166.223,1790.89,3003,2001.2,9333,6000,1136.5,651.5
12-01-95,167.894,1808,3009.5,2025.3,9602,6061,1143.2,654.3
13-01-95,168.151,1817.86,3028.5,2032,9605,6106,1145.2,660.3
16-01-95,168.886,1803.89,2957,2048.3,9529,6109,1140,645
17-01-95,167.926,1817.66,2981.5,2053,9740,6188,1160,656.5
18-01-95,168.205,1844.48,3038,2076,9799,6341,1172.3,665.8
19-01-95,166.566,1862.67,3067.5,2097,9940,6407,1202,672.5
20-01-95,165.004,1874.36,3057,2131.5,9992,6485,1204.3,692.8
23-01-95,161.549,1868.3,3034,2137,9960,6462,1194,693
24-01-95,162.175,1876.42,3046.5,2148.3,10127,6461,1190.3,690.5
25-01-95,163.38,1850.19,3009.5,2114.5,10007,6405,1165.8,680
26-01-95,163.898,1839.57,2991,2123.5,10019,6291,1157.5,678.2
27-01-95,162.89,1837.15,3002.5,2092.5,10046,6292,1150.8,677.2
30-01-95,161.171,1816.8,2976,2073.8,9864,6190,1128,657.5
31-01-95,160.423,1825,2974.3,2103.5,9884,6136,1130.3,644.7
01-02-95,160.567,1782.55,2887.8,2070.3,9611,5824,1116,626.8
02-02-95,160.551,1787.76,2890,2090,9675,5666,1117.5,625.3
03-02-95,160.377,1763.56,2866.3,2067,9287,5589,1091.3,600
06-02-95,160.285,1715.64,2821,2005.6,8743,5570,1029.3,575.9
07-02-95,158.17,1694.02,2832,1935,8550,5479,1028.8,580.6
08-02-95,156.59,1640.14,2812,1823.5,7867,5312,1009.3,564
09-02-95,156.713,1685.7,2854.3,1908.7,8168,5366,1008.5,575.5
10-02-95,157.44,1701.85,2900.4,1909,8386,5464,1020.7,576.3
13-02-95,157.112,1690.71,2897,1886.5,8365,5454,1001.8,554.8
14-02-95,156.269,1682.82,2909,1849,8315,5298,1003,565.3
15-02-95,155.838,1676.11,2886.5,1850.5,8219,5298,997.3,567.5
16-02-95,155.581,1690.41,2894,1882,8338,5330,1011.8,577.4
17-02-95,156.175,1692.95,2882,1881,8428,5426,1044.3,578.8
20-02-95,157.046,1697.18,2880,1906.5,8346,5432,1034,579.8
21-02-95,157.042,1699.92,2886,1897.3,8421,5528,1043,587.5
22-02-95,157.434,1679.34,2867,1859.3,8293,5479,1025,582.3
23-02-95,157.69,1661.17,2850.5,1834.5,8133,5326,1015,576.5
24-02-95,157.231,1664.14,2858,1832.3,8104,5384,1024,579.3
27-02-95,155.096,1654.39,2864,1811.5,7929,5331,1005,570.9
28-02-95,156.424,1618.77,2848,1758.3,7175,5105,991.5,558.9
